iter	Logloss
0	0.6888993181
1	0.6847339343
2	0.6811690268
3	0.6774592962
4	0.6738041466
5	0.6697113993
6	0.6655819752
7	0.6610919478
8	0.6569897935
9	0.6543432996
10	0.6512046547
11	0.6474876635
12	0.6437380177
13	0.6397087015
14	0.635788538
15	0.6330323202
16	0.6299322256
17	0.6261592391
18	0.6231260715
19	0.6199211404
20	0.6166696243
21	0.613725331
22	0.6109977881
23	0.6081309277
24	0.6053403452
25	0.602812311
26	0.6000140101
27	0.5974426408
28	0.5952620528
29	0.5934534248
30	0.5906878263
31	0.5883211767
32	0.5859067573
33	0.5839662009
34	0.5811442645
35	0.5785028857
36	0.5762328717
37	0.5745501265
38	0.5724262933
39	0.5707756958
40	0.568789171
41	0.5664545041
42	0.5640631391
43	0.5617060542
44	0.5599598803
45	0.5581988569
46	0.5559852453
47	0.5540554029
48	0.5522027907
49	0.5499872585
50	0.5474107617
51	0.5458247139
52	0.5439658677
53	0.5417491213
54	0.5397448956
55	0.5377272332
56	0.5359796767
57	0.5346718311
58	0.5331664151
59	0.5311905371
60	0.5293826003
61	0.5272869452
62	0.5251887772
63	0.5233925081
64	0.521468653
65	0.5195561602
66	0.5183712218
67	0.5171217586
68	0.5158228725
69	0.5144342181
70	0.5132649099
71	0.5114805761
72	0.5100979898
73	0.5086626062
74	0.5071873392
75	0.50580699
76	0.5042225631
77	0.5031693289
78	0.5019090515
79	0.5006032384
80	0.4997514702
81	0.4983891861
82	0.4967853933
83	0.4951171292
84	0.4938660927
85	0.4923257186
86	0.4910822565
87	0.4898917747
88	0.4886831382
89	0.4870680218
90	0.4861030808
91	0.484933621
92	0.4837430564
93	0.4824189607
94	0.4813753275
95	0.4800614207
96	0.4793368537
97	0.4780266956
98	0.4772001573
99	0.4761158325
100	0.4754855513
101	0.4746072769
102	0.4735783684
103	0.4723746449
104	0.4711758665
105	0.4705153638
106	0.469243691
107	0.4680180646
108	0.4671616731
109	0.465902661
110	0.4649315239
111	0.4644481875
112	0.4634348942
113	0.4625863996
114	0.4613304422
115	0.4604029613
116	0.4594544294
117	0.458667341
118	0.4580400812
119	0.4571327965
120	0.4563559499
121	0.4557614312
122	0.454960125
123	0.4542681789
124	0.4534123944
125	0.452659505
126	0.4520023635
127	0.451424947
128	0.4505877616
129	0.4498519691
130	0.4488979945
131	0.4479670725
132	0.4471830421
133	0.4463923622
134	0.445345509
135	0.4444023451
136	0.4435944423
137	0.4428129813
138	0.4419462137
139	0.4411905523
140	0.440364863
141	0.4393251695
142	0.4386999526
143	0.4379332268
144	0.437473784
145	0.4368234121
146	0.4359715942
147	0.4352468391
148	0.4346566646
149	0.4338960348
150	0.4333755355
151	0.4328467399
152	0.4321115302
153	0.4315284586
154	0.4308541751
155	0.430322492
156	0.4293661853
157	0.4286666194
158	0.4280779561
159	0.4274572241
160	0.4269866452
161	0.4262521165
162	0.4256355472
163	0.4249268671
164	0.4246359668
165	0.42396696
166	0.4231187462
167	0.4223214434
168	0.4218980017
169	0.4212903423
170	0.4207506439
171	0.4202952178
172	0.4198401149
173	0.4193802983
174	0.4188941843
175	0.4184863288
176	0.4177910841
177	0.4174209695
178	0.4171820935
179	0.4164472262
180	0.4158091849
181	0.4153466112
182	0.4146929512
183	0.4143722841
184	0.4137349301
185	0.413306954
186	0.4125317273
187	0.4118644073
188	0.4109112945
189	0.4103388974
190	0.410011816
191	0.409380114
192	0.4086967374
193	0.4082219648
194	0.407516269
195	0.4071825847
196	0.4064849802
197	0.4061650006
198	0.4055643076
199	0.4048930412
200	0.4042968512
201	0.4039001143
202	0.4035745639
203	0.4030309668
204	0.4027160152
205	0.4019715992
206	0.401572983
207	0.4012438462
