,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92,Z93,Z94,Z95,Z96,Z97,Z98,Z99,Z100,Z101,Z102,Z103,Z104,Z105,Z106,Z107,Z108,Z109,Z110,Z111,Z112,Z113,Z114,Z115,Z116,Z117,Z118,Z119,Z120,Z121,Z122,Z123,Z124,Z125,Z126,Z127,Z128,Z129,Z130,Z131,Z132,Z133,Z134,Z135,Z136,Z137,Z138,Z139,Z140,Z141,Z142,Z143,Z144,Z145,Z146,Z147,Z148,Z149,Z150,Z151,Z152,Z153,Z154,Z155,Z156,Z157,Z158,Z159,Z160,Z161,Z162,Z163,Z164,Z165,Z166,Z167,Z168,Z169,Z170,Z171,Z172,Z173,Z174,Z175,Z176,Z177,Z178,Z179,Z180,Z181,Z182,Z183,Z184,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192
181,6.1,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.6,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,5.4,4.0,0.0,4.0,4.0,4.0,4.0,4.5,5.0,0.0,4.4,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.5,4,4.0,4.0,4.0,4.5,4.0,4.0,5.8,4.0,6.1,4.0,4.0,4.0,6.2,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.7,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.842,1.492,0,0,36,12,24,0,0,0,12,24,26,8,10,4,18,6,3,12,15,8,0,6,0,0,0,12,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39,28,11,12,4,12,38,0,0,0,0,0,8,0,4,9,0,0,8,0,8,28,2,2,8,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,6,0,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
45,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,4.0,4.0,4.5,4.6,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.5,5.7,4.4,5.7,4.0,4.0,5.9,4.0,4.6,4.0,4.0,4.0,4.9,4.0,4.5,4.0,4.0,5.7,5.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.1,4.0,4.0,4.0,5.7,4.0,4.0,4.5,5.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.9,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,8.2,4.0,4.0,4.0,4.0,7.7,4.0,4.0,4.0,4.0,4.0,4,4.0,4.5,4.0,4.0,4,4.0,4.0,7.3,8.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,4.7,4.0,4.0,4.0,4.0,4.0,5.3,5.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.1,7.5,4.0,4.9,5.1,5.2,4.0,5.6,4.5,5.3,5.6,4.5,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.5,4.0,6.0,4.0,4.0,4.0,4.9,4.0,6.3,6.0,5.9,5.1,4.0,0.0,3.809,0,0,21,4,17,0,0,0,4,17,9,4,12,0,5,12,12,2,15,10,8,4,0,0,1,3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,11,12,5,2,4,5,0,0,0,0,1,1,0,2,3,0,1,1,0,0,0,0,2,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.8,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.088,1.785,0,0,28,6,22,0,0,0,6,22,28,6,0,0,22,0,0,23,25,18,0,0,0,3,0,2,7,0,4,0,0,0,0,0,0,0,2,4,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,31,31,0,20,3,5,9,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,0,1,1,0,0,0,6,3,7,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4,4.0,4.0,6.1,5.8,4.0,4.0,5.1,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.5,4.0,4.0,4.5,5.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,5.3,4.0,4,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,6.3,5.9,4.0,4.0,4.5,4.0,6.4,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,5.8,5.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.7,6.4,4.0,4.0,4.0,5.1,4.0,4.0,8.5,7.1,4.0,4.0,4.0,4.0,0.0,4.0,5.5,4.0,4.0,5.9,4.9,4.0,4.0,7.8,8.2,4.0,8.3,7.2,6.8,8.4,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,0.0,4.0,7.7,4.0,4.0,4.0,4.0,4.0,8.0,8.1,8.0,4.0,4.0,0.0008,1.229,0,0,24,5,19,0,0,0,5,19,15,4,9,1,11,8,8,7,18,13,4,4,1,1,0,4,1,1,0,0,2,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,17,10,9,3,4,9,0,0,0,0,1,1,1,1,1,0,1,2,0,2,1,0,3,2,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,7,0,0,0,1,0,0,4,4,1,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,4.0,4.0,4.0,6.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.5,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,6.1,9.81,-4.717,0,0,32,14,18,0,0,0,14,18,32,14,0,0,18,0,0,16,16,2,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,34,0,18,10,14,85,0,0,0,0,0,2,2,14,14,7,10,11,1,19,19,13,14,19,0,0,0,10,10,12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.0,5.4,4.5,4.0,4.0,4.0,4.0,4.5,4.5,5.0,4.0,4.0,4.0,4.5,4.0,4,4.5,6.1,5.0,4.0,4.8,4.5,5.6,5.4,5.4,4.5,4.0,4.5,4.5,4.0,4.5,4.0,4.5,5.9,7.0,4.0,4.0,4.0,4.0,4.0,4.1,4.0,5.6,0.0,4.0,4.0,5.7,4.0,4.0,4.0,6.8,4.0,4.0,6.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.3,4,5.0,4.0,4.0,4.0,4.5,4.0,4.0,4.6,4.1,4.0,4.0,4.0,5.3,4.0,4.9,4.0,4.5,4.0,4.0,4.0,4,4.7,4.2,4.9,4.0,4,4.0,4.0,5.0,5.6,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.9,4.0,4.5,4.5,5.9,5.0,4.0,4.5,5.3,6.1,5.7,4.4,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.5,4.0,5.0,4.0,4.0,4.7,4.0,4.0,6.6,4.0,4.5,5.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.2,4.0,4.0,4.0,4.9,4.0,7.2,6.1,5.4,5.7,4.0,0.163,5.331,0,0,34,4,30,0,0,0,4,30,16,4,18,0,12,18,18,9,30,25,15,3,0,1,0,4,3,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,19,18,6,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,4.5,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,5.0,4.0,4.6,4.0,5.3,4.0,4.7,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.6,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.8,5.0,4.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.6,4.0,4.0,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,4.0,4.5,4.0,0.0,3.75,0,0,22,4,18,0,0,0,4,18,16,4,6,0,12,6,6,8,16,13,3,3,1,2,0,1,5,1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,16,6,0,2,4,5,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
22,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.915,0,0,15,6,9,0,0,0,6,9,15,6,0,0,9,0,0,6,6,5,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,0,0,2,6,9,0,0,0,0,4,6,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.9,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.6,4.0,4.0,4.0,4.0,5.6,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,-2.435,1,0,12,2,10,0,0,0,2,10,6,2,6,0,4,6,6,1,7,5,4,2,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
232,4.0,4.0,4.0,5.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,15.9,0.395,0,0,10,3,7,0,0,0,3,7,10,3,0,0,7,0,0,6,6,5,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,0,5,1,3,2,0,0,0,0,2,2,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
