,tidy_x
40,1
84,0
198,1
273,1
61,1
51,0
118,1
162,1
209,1
142,1
205,1
50,0
278,0
157,1
49,1
243,1
191,1
111,0
159,1
90,0
155,1
240,0
101,1
106,0
227,1
279,1
196,1
251,1
6,0
275,0
153,1
46,1
203,1
199,1
171,0
150,1
54,1
234,0
148,1
66,0
76,1
37,1
222,1
121,0
9,0
158,1
193,1
119,0
24,0
200,1
241,0
183,1
257,1
86,0
132,1
115,0
245,1
103,1
48,0
16,1
137,1
272,1
126,1
213,0
14,0
139,1
33,0
206,0
133,1
53,0
134,1
186,1
85,1
80,1
226,1
233,0
253,1
141,1
263,0
4,1
177,1
214,1
8,0
18,0
179,0
136,1
265,1
220,1
143,0
128,0
112,0
124,1
65,0
30,0
255,1
247,0
57,0
224,0
7,0
98,1
89,0
184,1
164,0
71,1
218,1
67,0
127,0
70,1
237,1
274,0
74,1
246,1
259,1
174,1
39,1
264,1
271,1
38,1
116,0
97,1
208,1
152,1
242,1
138,1
211,1
25,1
13,0
145,1
277,0
58,1
195,1
170,1
64,1
202,0
175,1
52,0
266,1
34,0
78,1
120,0
270,0
167,1
69,0
28,0
135,0
131,0
248,1
165,0
180,1
42,0
23,1
91,1
207,1
182,1
87,0
225,1
100,1
212,1
94,0
231,1
31,1
190,1
93,1
45,1
223,0
108,1
105,1
149,1
29,0
235,1
109,1
163,1
122,0
27,0
104,0
60,0
146,0
83,0
260,1
194,1
125,0
166,1
217,1
216,1
189,1
151,1
0,1
256,1
230,1
276,0
88,1
204,1
77,0
12,0
161,1
123,0
41,0
113,1
95,1
268,1
11,1
114,1
75,1
172,1
1,0
219,0
181,0
96,1
262,1
5,1
187,0
178,1
154,1
22,1
19,0
99,0
169,1
239,1
21,1
160,1
73,0
17,1
62,0
249,0
236,1
228,1
238,0
229,1
47,1
250,0
79,0
267,0
20,1
140,1
192,1
130,0
215,0
244,1
59,1
221,1
176,1
55,0
254,1
197,1
68,0
210,1
232,1
201,1
168,1
185,1
35,1
129,0
