,tidy_x
181,0
45,1
112,0
60,0
220,1
125,0
30,0
22,1
24,0
232,1
215,0
79,0
132,1
240,0
119,0
227,1
248,1
170,1
6,0
242,1
73,0
84,0
56,1
25,1
159,1
178,1
19,0
86,0
139,1
186,1
5,1
126,1
237,1
213,0
164,0
15,1
10,0
279,1
37,1
16,1
176,1
250,0
67,0
209,1
108,1
109,1
200,1
195,1
197,1
18,0
115,0
211,1
82,0
203,1
97,1
177,1
55,0
196,1
216,1
38,1
241,0
93,1
57,0
111,0
142,1
182,1
152,1
31,1
259,1
78,1
194,1
127,0
245,1
116,0
264,1
113,1
183,1
114,1
167,1
69,0
172,1
2,0
104,0
76,1
117,0
224,0
154,1
96,1
124,1
269,1
185,1
230,1
118,1
273,1
74,1
140,1
29,0
231,1
208,1
251,1
155,1
168,1
165,0
192,1
65,0
258,1
85,1
184,1
12,0
35,1
28,0
217,1
143,0
51,0
95,1
179,0
265,1
41,0
234,0
276,0
136,1
26,1
274,0
141,1
226,1
0,1
247,0
100,1
223,0
218,1
98,1
36,0
61,1
150,1
202,0
173,1
207,1
11,1
277,0
244,1
27,0
210,1
4,1
122,0
32,0
175,1
162,1
180,1
221,1
138,1
62,0
135,0
128,0
271,1
261,1
70,1
238,0
64,1
44,0
206,0
156,0
40,1
123,0
246,1
153,1
23,1
233,0
229,1
81,1
39,1
222,1
199,1
14,0
47,1
94,0
236,1
253,1
201,1
161,1
43,1
145,1
190,1
272,1
3,1
105,1
53,0
133,1
1,0
239,1
103,1
49,1
163,1
80,1
205,1
34,0
254,1
7,0
171,0
198,1
266,1
110,0
91,1
83,0
129,0
52,0
89,0
8,0
13,0
59,1
88,1
131,0
17,1
166,1
72,0
275,0
134,1
262,1
228,1
268,1
63,0
243,1
54,1
107,1
50,0
255,1
174,1
256,1
189,1
187,0
169,1
58,1
48,0
235,1
252,1
21,1
160,1
191,1
257,1
149,1
130,0
151,1
99,0
87,0
214,1
121,0
280,1
20,1
188,1
71,1
106,0
270,0
102,0
